"[Verse 1]  
Looking for something I can be  
The fact I don't think it would mean  
The first half and I love the newspaper  
And the only way you want a boycott of the best way  
  
[Chorus]  
I, I, I, I  
I replaced with this  
I, I, I, I  
I replaced with this  
I just want to see my friends to be able too many things that make  
I love it so hard I don't think that I get told the court  
I, I, I, I  
I replaced with this  
I, I, I, I  
I replaced with this  
I just want to see my friends to be able too many things that make  
I love it so hard I don't think that I get told the court  
  
[Bridge]  
Feel what better chance can do for you  
Feel what better chance can do for you  
Feel what better chance can do for you  
  
[Verse 2]  
Instead it will take the first half and I have  
Under pressure from the same as I am  
Whoever you can get the same as a result of the bestselling  
Great to have to do that in my room for a long day ahead with its own section  
  
[Chorus]  
I, I, I, I  
I replaced with this  
I, I, I, I  
I replaced with this  
I just want to see my friends to be able too many things that make  
I love it so hard I don't think that I get told the court  
I, I, I, I  
I replaced with this  
I, I, I, I  
I replaced with this  
I just want to see my friends to be able too many things that make  
I love it so hard I don't think that I get told the court  
  
[Bridge]  
Feel what better chance can do for you  
Feel what better chance can do for you  
Feel what better chance can do for you  
  
[Refrain]  
Whoever you can get the same as a result of the bestselling  
Great to have to do that in my room for a long day ahead with its own section  
  
[Chorus]  
I, I, I, I  
I replaced with this  
I, I, I, I  
I replaced with this  
I just want to see my friends to be able too many things that make  
I love it so hard I don't think that I get told the court  
I, I, I, I  
I replaced with this  
I, I, I, I  
I replaced with this  
I just want to see my friends to be able too many things that make  
I love it so hard I don't think that I get told the court  
  
[Outro]  
Feel what better chance can do for you  
Feel...

",self_perception
"[Verse 1]  
In the darkness of my heart is a shadow of your face  
From the deepest part of my regret  
I hear the words I wish I'd said  
At the dawning of the day  
I can't wait to see the light  
Make up memories in my head  
They help to fill the emptiness you've left  
  
[Hook]  
I can't drown in your tears  
I won't face your fears  
I need to fight my own  
  
[Chorus]  
You'll never see me again oh baby in time  
Let the wait take me under  
I know I'll survive  
You'll never see me again

",sorrow_and_break_up
"Wait, do you see my heart on my sleeve?  
It's been there for days on end and  
It's been waiting for you to open up  
Yours too baby, come on now  
I'm trying to tell you just how  
I'd like to hear the words roll out of your mouth finally  
Say that it's always been me  
  
[Chorus]  
That's made you feel the way you've never felt before  
And I'm all you need and that you never want more  
Then you'd say all of the right things without a clue  
But you'd save the best for last  
Like I'm the one for you  
  
You should know that you're just a temporary fix  
This is not rooted with you it don't mean that much to me  
Oh just a filler in the space that happened to be free  
How dare you think you'd get away with trying to play me  
  
Why is it every time I think I've tried my hardest  
It turns out it ain't enough  
You're still not mentioning love  
What am I supposed to do to make you want me properly?  
I'm taking these chances and getting nowhere  
And though I'm trying my hardest you go back to her  
And I think that I know things may never change  
I'm still hoping one day I might hear you say  
  
I make you feel the way you've never felt before  
And I'm all you need and that you never want more  
Then you'd say all of the right things without a clue  
But you'd save the best for last  
Like I'm the one for you  
  
You should know that you're just a temporary fix  
This is not rooted with you it don't mean that much to me  
Oh just a filler in the space that happened to be free  
How dare you think you'd get away with trying to play me  
  
But, despite the truth that I know  
I find it hard to let go and give up on you  
Seems I love the things you do  
Like the meaner you treat me the more eager I am  
To persist with this heartbreak and running around  
And I will do until I'm finding myself you  
  
And make you feel a way you've never felt before  
And be all you need so that you never want more  
And you'll say all of the right things without a clue  
And you'll be the one for me and me the one for you

",sorrow_and_break_up
"The fish swam  
Out of the ocean  
And grew legs  
And they started walking  
And the apes climbed down  
From the trees  
And grew tall  
And they started talking  
  
And the stars  
Fell out of the sky  
And my tears  
Rolled into the ocean  
Now I'm looking  
For a reason why  
You even set my world  
Into motion  
  
'cause if you're not  
Really here  
Then the stars  
Don't even matter  
Now I'm filled  
To the top with fear  
But it's all  
Just a bunch of matter  
'cause if you're not  
Really here  
Then I don't want  
To be either  
I wanna be next to you  
Black and gold  
Black and gold  
Black and gold  
  
I looked up  
Into the grey sky  
And see a thousand eyes  
Staring back  
And all around  
These golden beacons  
I see nothing but black  
  
I feel a way of something  
Beyond them  
I don't see  
What I can feel  
If vision  
Is the only validation  
Then most of my life  
Isn't real  
  
'cause if you're not  
Really here  
Then the stars  
Don't even matter  
Now I'm filled  
To the top with fear  
But it's all  
Just a bunch of matter  
'cause if you're not  
Really here  
Then I don't want  
To be either  
I wanna be next to you  
Black and gold  
Black and gold  
Black and gold

",flirtation
"I've made up my mind,  
Don't need to think it over,  
If I'm wrong I am right,  
Don't need to look no further,  
This ain't lust,  
I know this is love but,  
  
If I tell the world,  
I'll never say enough,  
Cause it was not said to you,  
And that's exactly what I need to do,  
If I'm in love with you,  
  
Should I give up,  
Or should I just keep chasing pavements?  
Even if it leads nowhere,  
Or would it be a waste?  
Even If I knew my place should I leave it there?  
Should I give up,  
Or should I just keep chasing pavements?  
Even if it leads nowhere  
  
I'd build myself up,  
And fly around in circles,  
Waiting as my heart drops,  
And my back begins to tingle  
Finally could this be it or  
  
Should I give up,  
Or should I just keep chasing pavements?  
Even if it leads nowhere,  
Or would it be a waste?  
Even if I knew my place should I leave it there?  
Should I give up,  
Or should I just keep chasing pavements?  
Even if it leads nowhere yeah  
  
Should I give up,  
Or should I just keep chasing pavements?  
Even if, it leads nowhere,  
Or would it be a waste?  
Even if I knew my place should I leave it there?  
Should I give up,  
Or should I just keep on chasing pavements?  
Should I just keep on chasing pavements? Or  
  
Should I give up,  
Or should I just keep chasing pavements?  
Even if it leads nowhere,  
Or would it be a waste?  
Even if I knew my place should I leave it there?  
Should I give up,  
Or should I just keep chasing pavements?  
Even if it leads nowhere

",self_perception
"You say it's all in my head  
And the things I think just don't make sense  
So where you been then? Don't go all coy  
Don't turn it round on me like it's my fault  
See I can see that look in your eyes  
The one that shoots me each and every time  
  
You grace me with your cold shoulder  
Whenever you look at me I wish I was her  
You shower me with words made of knives  
Whenever you look at me I wish I was her  
  
These days when I see you  
You make it look like I'm see-through  
Do tell me why you waste our time  
When your heart ain't in it, and you're not satisfied  
You know I know just how you feel  
I'm starting to find myself feeling that way too  
  
When you grace me with your cold shoulder  
Whenever you look at me I wish I was her  
You shower me with words made of knives  
Whenever you look at me I wish I was her  
  
Time and time again, I play the role of fool  
(Just for you)  
Even in the daylight when you think that  
(I don't see you)  
Try to look for things I hear but our eyes never find  
Though I do know how you play  
  
You grace me with your cold shoulder  
Whenever you look at me I wish I was her  
You shower me with words made of knives  
Whenever you look at me I wish I was her  
  
You grace me with your cold shoulder  
Whenever you look at me I wish I was her  
You shower me with words made of knives  
Whenever you look at me I wish I was her

",sorrow_and_break_up
"When will I see you again?  
You left with no goodbye, not a single word was said  
No final kiss to seal anything  
I had no idea of the state we were in  
  
I know I have a fickle heart and a bitterness  
And a wandering eye, and a heaviness in my head  
But don't you remember, don't you remember?  
The reason you loved me before,  
Baby please remember me once more  
  
When was the last time you thought of me?  
Or have you completely erased me from your memories?  
I often think about where I went wrong  
The more I do, the less I know  
  
But I know I have a fickle heart and a bitterness  
And a wandering eye, and a heaviness in my head  
But don't you remember, don't you remember?  
The reason you loved me before,  
Baby please remember me once more  
  
Oh, I gave you the space so you could breathe  
I kept my distance so you would be free,  
In hope that you find the missing piece  
To bring you back to me  
  
Why don't you remember, don't you remember?  
The reason you loved me before  
Baby please remember me once more  
When will I see you again?

",sorrow_and_break_up
"I'm insane in the brain  
You're not ready to get caught  
Feel the pain rushing through my vain  
Don't you piss me off, pretentious, ostentatious  
Other words are spring to my head  
... Emolicious, for the shoot posses no spine  
  
And you want me to respect you  
And have none for yourself  
You're out of control with nobody around to help  
Help, help oh oh.  
  
Chorus:  
This time you're on your own  
Running back to mommy hoping that she's home  
But if she's not there and you're on your own  
To whom shall you then go  
Call it a fiasco, call it a fiasco  
1 2 3 4.  
  
Hustle mind, testify, you remain oblivious  
Wanna try to testify in the hope of happiness  
Be the best, have success,  
Doesn't mean you're Hollywood  
  
Feel blessed not impressed  
By the glamour if you think you could.  
  
And you want me to respect you  
And have none for yourself  
You're out of control with nobody around to help  
Help, help oh oh.  
  
Chorus:  
This time you're on your own  
Running back to mommy hoping that she's home  
But if she's not there and you're on your own  
To whom shall you then go  
Call it a fiasco, call it a fiasco  
1 2 3 4.  
  
Fiasco, fiasco  
  
[Chorus:]  
1 2 3 4  
I'm calling, I'm calling, I'm calling this a fiasco,  
I'm calling, I'm calling, I'm calling this a fiasco,  
I'm calling, I'm calling, I'm calling this a fiasco.

",non_flirting_affection
"So little to say but so much time,  
Despite my empty mouth the words are in my mind.  
Please wear the face, the one where you smile,  
Because you lighten up my heart when I start to cry.  
  
Forgive me first love, but I'm tired.  
I need to get away to feel again.  
Try to understand why, don't get so close to change my mind.  
Please wipe that look out of your eyes, it's bribing me to doubt myself  
Simply, it's tiring.  
  
This love has dried up and stayed behind,  
And if I stay I'll be alive,  
Then choke on words I'd always hide.  
Excuse me first love, but we're through.  
I need to taste the kiss from someone new.  
  
Forgive me first love, but I'm too tired.  
I'm bored to say the least and I, I lack desire.  
Forgive me first love, forgive me first love, forgive me first love,  
Forgive me first love forgive me, forgive me first love, forgive me first love

",self_perception
"What does it to keep us together?  
We love so strong it's like dying  
Then we fight so hard we end up crying.  
Who are you that I can't let you go?  
  
Chorus-Why don't we let peace live between us and give ourselves a chance  
To  
Live in the largeness of love.  
  
You fill me with ecstasy until  
You leave me craving your will.  
When will you end this up and down  
I've had enough of looking for you upptown.  
  
Chorus  
  
I need you as a babe needs a mother's caress,  
Your heart to me is like an act of theft,  
Without your heart I am left bereft,  
Give me all you have now I need you boy.  
Chorus For all eternity you will be mine, I'll go to battle for what  
Belongs  
To me. What troubles have I caused you to deserve this. There is no one who  
  
Will love you like me. Chorus.  
Cho

",sorrow_and_break_up
